Exchange,Base,Quote,Time,Open,High,Low,Close,Quote Volume,Base Volume
KRAKEN,BTC,USD,2022-12-21 21:30,16792.2,16795.4,16767.8,16775.5,194005.7848,11.5546243
KRAKEN,BTC,USD,2022-12-21 21:45,16775.6,16792.8,16759.4,16791,140679.0713,8.38722349
KRAKEN,BTC,USD,2022-12-21 22:00,16791,16792.8,16779.3,16784.9,135179.1173,8.05303127
KRAKEN,BTC,USD,2022-12-21 22:15,16784.9,16784.9,16758.4,16767.6,585933.4666,34.94352162
KRAKEN,BTC,USD,2022-12-21 22:30,16766.8,16775.3,16765.5,16771.4,245293.7137,14.62848647
KRAKEN,BTC,USD,2022-12-21 22:45,16771.4,16775,16766.9,16768.4,74005.43954,4.41241531
KRAKEN,BTC,USD,2022-12-21 23:00,16768.5,16807.3,16753.6,16805.3,693171.2019,41.30130281
KRAKEN,BTC,USD,2022-12-21 23:15,16804.8,16809.5,16778.2,16781.7,75034.46951,4.46722498
KRAKEN,BTC,USD,2022-12-21 23:30,16781.7,16798,16780.9,16798,80592.72494,4.79836927
KRAKEN,BTC,USD,2022-12-21 23:45,16798,16830.5,16777.3,16829.4,1799713.999,107.1454543
KRAKEN,BTC,USD,2022-12-22 00:00,16823.5,16831.9,16808.3,16825,643364.1206,38.2624102
KRAKEN,BTC,USD,2022-12-22 00:15,16825.1,16829.1,16810.9,16829,191765.8773,11.40258525
KRAKEN,BTC,USD,2022-12-22 00:30,16828.2,16833.1,16817.9,16823.6,59559.68667,3.53977838
KRAKEN,BTC,USD,2022-12-22 00:45,16824.3,16850,16824.2,16850,242956.3457,14.42714434
KRAKEN,BTC,USD,2022-12-22 01:00,16850,16850,16841.6,16846.4,283203.2086,16.80903154
KRAKEN,BTC,USD,2022-12-22 01:15,16846.4,16846.4,16833.5,16835.9,155747.2189,9.250118
KRAKEN,BTC,USD,2022-12-22 01:30,16836,16836,16831.9,16836,42197.82709,2.5067371
KRAKEN,BTC,USD,2022-12-22 01:45,16836,16836,16815.4,16815.9,207599.1555,12.33649914
KRAKEN,BTC,USD,2022-12-22 02:00,16816.7,16827.7,16815.4,16827.5,29001.88321,1.72426874
KRAKEN,BTC,USD,2022-12-22 02:15,16827.6,16828.4,16823.7,16826.1,17965.0475,1.06768156
KRAKEN,BTC,USD,2022-12-22 02:30,16826,16846.4,16826,16843,137172.5944,8.14899977
KRAKEN,BTC,USD,2022-12-22 02:45,16844.4,16852.9,16843.1,16851.3,357253.0842,21.20360934
KRAKEN,BTC,USD,2022-12-22 03:00,16851.7,16856.2,16845.6,16850,47335.25228,2.80887853
KRAKEN,BTC,USD,2022-12-22 03:15,16850,16850,16846.7,16848.7,15649.3733,0.92877876
KRAKEN,BTC,USD,2022-12-22 03:30,16848.6,16850,16834.6,16836.9,37420.34144,2.22158532
KRAKEN,BTC,USD,2022-12-22 03:45,16836.9,16855.9,16836.8,16853.1,194666.3459,11.55453098
KRAKEN,BTC,USD,2022-12-22 04:00,16853.1,16857.5,16836.8,16841.2,36113.00362,2.14281058
KRAKEN,BTC,USD,2022-12-22 04:15,16839.6,16858.4,16838.4,16850.7,49001.87877,2.90793346
KRAKEN,BTC,USD,2022-12-22 04:30,16852.5,16853.5,16844.1,16846.6,52807.61311,3.13450601
KRAKEN,BTC,USD,2022-12-22 04:45,16846.6,16852.1,16839.9,16840,60997.06355,3.62070573
KRAKEN,BTC,USD,2022-12-22 05:00,16839.9,16840.9,16818.2,16831.8,56198.87508,3.33940017
KRAKEN,BTC,USD,2022-12-22 05:15,16830.2,16831.8,16826.1,16827.1,128195.072,7.61752438
KRAKEN,BTC,USD,2022-12-22 05:30,16827.2,16829.6,16822.7,16829.5,64842.51715,3.85398154
KRAKEN,BTC,USD,2022-12-22 05:45,16829.4,16829.6,16818.4,16824.8,36310.72304,2.15835668
KRAKEN,BTC,USD,2022-12-22 06:00,16824.3,16824.4,16803,16823.9,52410.2508,3.11741776
KRAKEN,BTC,USD,2022-12-22 06:15,16822.4,16825,16802.3,16802.3,24694.6715,1.468211
KRAKEN,BTC,USD,2022-12-22 06:30,16802,16811.5,16802,16809.2,92433.33139,5.50053419
KRAKEN,BTC,USD,2022-12-22 06:45,16811.6,16812.8,16809.3,16810.8,11719.36492,0.69708764
KRAKEN,BTC,USD,2022-12-22 07:00,16810.8,16810.8,16784.2,16808.1,1152601.659,68.63316454
KRAKEN,BTC,USD,2022-12-22 07:15,16808.3,16817.6,16808.3,16814.4,32243.86178,1.91771553
KRAKEN,BTC,USD,2022-12-22 07:30,16814.5,16827.7,16800.3,16827.5,28806.52907,1.71327053
KRAKEN,BTC,USD,2022-12-22 07:45,16826.8,16829.6,16821.7,16827.2,145168.8066,8.62900039
KRAKEN,BTC,USD,2022-12-22 08:00,16826.4,16829.5,16801.9,16818.3,64973.05524,3.86422913
KRAKEN,BTC,USD,2022-12-22 08:15,16818.5,16838.1,16815.2,16838.1,412883.4119,24.52900717
KRAKEN,BTC,USD,2022-12-22 08:30,16836.1,16854.3,16829.4,16829.4,1306865.875,77.6258759
KRAKEN,BTC,USD,2022-12-22 08:45,16829.4,16846.7,16823.5,16837.8,962543.7589,57.16666244
KRAKEN,BTC,USD,2022-12-22 09:00,16837.9,16845.8,16827.7,16845.8,521033.4228,30.95136453
KRAKEN,BTC,USD,2022-12-22 09:15,16845.8,16845.8,16833.7,16839.5,155570.2475,9.23628017
KRAKEN,BTC,USD,2022-12-22 09:30,16839.7,16860,16839.6,16856.8,507496.1262,30.11316277
KRAKEN,BTC,USD,2022-12-22 09:45,16857,16858.4,16843.6,16848.7,25914.44055,1.53808536
KRAKEN,BTC,USD,2022-12-22 10:00,16848.6,16858.3,16839.1,16839.1,95358.46949,5.66033203
KRAKEN,BTC,USD,2022-12-22 10:15,16838,16843.7,16834.1,16841.9,56797.87647,3.37291302
KRAKEN,BTC,USD,2022-12-22 10:30,16842,16842,16833.8,16834,122212.3469,7.25964191
KRAKEN,BTC,USD,2022-12-22 10:45,16834,16834,16822.1,16824.9,597893.3561,35.52833821
KRAKEN,BTC,USD,2022-12-22 11:00,16824.8,16832.2,16824.8,16831,162894.7067,9.68066805
KRAKEN,BTC,USD,2022-12-22 11:15,16831.1,16834.3,16818.5,16820.6,292453.2726,17.38410164
KRAKEN,BTC,USD,2022-12-22 11:30,16820.6,16846.5,16820.6,16836.9,702125.108,41.71421141
KRAKEN,BTC,USD,2022-12-22 11:45,16836.9,16846.3,16831.4,16837,147632.3908,8.7678893
KRAKEN,BTC,USD,2022-12-22 12:00,16836.4,16859.9,16831.7,16838.1,628078.5109,37.27835695
KRAKEN,BTC,USD,2022-12-22 12:15,16837.8,16843.4,16821.5,16823.4,862019.8662,51.21464509
KRAKEN,BTC,USD,2022-12-22 12:30,16823.5,16823.7,16816.5,16817.9,42504.21425,2.52704659
KRAKEN,BTC,USD,2022-12-22 12:45,16818,16823.4,16815.8,16816.7,229555.0749,13.64874818
KRAKEN,BTC,USD,2022-12-22 13:00,16816.8,16821.9,16804.7,16807.8,157415.9112,9.36157119
KRAKEN,BTC,USD,2022-12-22 13:15,16807.7,16824.8,16802,16805.8,2434974.837,144.8055874
KRAKEN,BTC,USD,2022-12-22 13:30,16805.8,16807.7,16710,16782.4,1581476.926,94.36655595
KRAKEN,BTC,USD,2022-12-22 13:45,16782.5,16787.4,16765.5,16782.1,511457.5273,30.47487388
KRAKEN,BTC,USD,2022-12-22 14:00,16782,16789.4,16758.9,16760,169383.6803,10.1016224
KRAKEN,BTC,USD,2022-12-22 14:15,16760.1,16775.8,16760,16764.8,108727.8917,6.48368734
